Förvaltning;Leverantör;Organisationsnummer;Verifikationsnummer;Konto;Kontotext;Belopp exkl moms
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685749;6441;Livsmedel;1 460,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685750;6441;Livsmedel;19 401,10
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685744;6442;Ekologiska livsmedel;679,29
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685758;6442;Ekologiska livsmedel;921,92
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685759;6442;Ekologiska livsmedel;350,81
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685765;6442;Ekologiska livsmedel;671,85
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685750;6442;Ekologiska livsmedel;7 845,51
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685751;6442;Ekologiska livsmedel;2 901,47
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685670;6442;Ekologiska livsmedel;478,04
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685665;6442;Ekologiska livsmedel;364,80
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685667;6442;Ekologiska livsmedel;619,10
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685666;6442;Ekologiska livsmedel;547,71
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685687;6442;Ekologiska livsmedel;2 925,53
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685743;6442;Ekologiska livsmedel;403,47
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685670;6441;Livsmedel;1 014,06
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685666;6441;Livsmedel;1 519,84
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685744;6441;Livsmedel;1 292,50
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685685;6441;Livsmedel;578,97
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685687;6441;Livsmedel;7 766,31
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685743;6441;Livsmedel;656,90
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685661;6441;Livsmedel;1 141,98
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685662;6441;Livsmedel;1 441,05
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685663;6441;Livsmedel;156,18
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685664;6441;Livsmedel;41,56
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685665;6441;Livsmedel;1 162,26
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685667;6441;Livsmedel;1 170,77
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685310;6442;Ekologiska livsmedel;2 517,44
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685268;6442;Ekologiska livsmedel;246,94
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685310;6441;Livsmedel;10 833,83
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685727;6441;Livsmedel;-120,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685661;6442;Ekologiska livsmedel;190,14
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685662;6442;Ekologiska livsmedel;349,06
